
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server
  2026-05-14 19:33:09 /tracking/active-shipments ............................................................... ~ 1s
  2026-05-14 19:33:20 /tracking/active-shipments ............................................................... ~ 1s
  2026-05-14 19:33:36 /tracking/active-shipments ........................................................... ~ 0.50ms
  2026-05-14 19:33:50 /tracking/active-shipments ......................................................... ~ 513.12ms
  2026-05-14 19:34:06 /tracking/active-shipments ......................................................... ~ 511.05ms
  2026-05-14 19:34:20 /tracking/active-shipments ........................................................... ~ 0.49ms
  2026-05-14 19:34:35 /tracking/active-shipments ......................................................... ~ 512.86ms
  2026-05-14 19:34:51 /tracking/active-shipments ......................................................... ~ 514.46ms
  2026-05-14 19:35:05 /tracking/active-shipments ......................................................... ~ 512.86ms
  2026-05-14 19:35:21 /tracking/active-shipments ......................................................... ~ 512.84ms
  2026-05-14 19:35:35 /tracking/active-shipments ......................................................... ~ 511.01ms
  2026-05-14 19:35:50 /tracking/active-shipments ......................................................... ~ 513.14ms
  2026-05-14 19:36:06 /tracking/active-shipments ......................................................... ~ 514.38ms
  2026-05-14 19:36:20 /tracking/active-shipments ........................................................... ~ 0.49ms
  2026-05-14 19:36:35 /tracking/active-shipments ......................................................... ~ 512.09ms
  2026-05-14 19:36:51 /tracking/active-shipments ......................................................... ~ 510.40ms
  2026-05-14 19:37:05 /tracking/active-shipments ......................................................... ~ 512.34ms
  2026-05-14 19:37:20 /tracking/active-shipments ......................................................... ~ 514.34ms
  2026-05-14 19:37:35 /tracking/active-shipments ......................................................... ~ 513.29ms
  2026-05-14 19:37:50 /tracking/active-shipments ........................................................... ~ 0.32ms
  2026-05-14 19:38:05 /tracking/active-shipments ......................................................... ~ 509.33ms
  2026-05-14 19:38:20 /tracking/active-shipments ......................................................... ~ 500.72ms
  2026-05-14 19:38:35 /tracking/active-shipments ......................................................... ~ 514.40ms
  2026-05-14 19:38:50 /tracking/active-shipments ......................................................... ~ 510.56ms
  2026-05-14 19:39:05 /tracking/active-shipments ............................................................... ~ 1s
  2026-05-14 19:39:20 /tracking/active-shipments ......................................................... ~ 512.31ms
  2026-05-14 19:39:35 /tracking/active-shipments ......................................................... ~ 511.20ms
  2026-05-14 19:39:50 /tracking/active-shipments ............................................................... ~ 1s
  2026-05-14 19:40:05 /tracking/active-shipments ......................................................... ~ 514.25ms
  2026-05-14 19:40:20 /tracking/active-shipments ......................................................... ~ 511.42ms
  2026-05-14 19:40:35 /tracking/active-shipments ......................................................... ~ 513.88ms
  2026-05-14 19:40:50 /tracking/active-shipments ........................................................... ~ 0.39ms
  2026-05-14 19:41:05 /tracking/active-shipments ......................................................... ~ 510.90ms
  2026-05-14 19:41:21 /tracking/active-shipments ......................................................... ~ 506.97ms
  2026-05-14 19:41:35 /tracking/active-shipments ............................................................... ~ 1s
  2026-05-14 19:41:50 /tracking/active-shipments ......................................................... ~ 511.22ms
  2026-05-14 19:42:05 /tracking/active-shipments ......................................................... ~ 515.02ms
  2026-05-14 19:42:20 /tracking/active-shipments ........................................................... ~ 0.62ms
  2026-05-14 19:42:35 /tracking/active-shipments ........................................................... ~ 0.37ms
  2026-05-14 19:42:51 /tracking/active-shipments ......................................................... ~ 513.23ms
  2026-05-14 19:43:05 /tracking/active-shipments ........................................................... ~ 0.49ms
  2026-05-14 19:43:20 /tracking/active-shipments ........................................................... ~ 0.70ms
  2026-05-14 19:43:35 /tracking/active-shipments ......................................................... ~ 514.22ms
  2026-05-14 19:43:51 /tracking/active-shipments ........................................................... ~ 0.58ms
  2026-05-14 19:44:06 /tracking/active-shipments ......................................................... ~ 508.92ms
  2026-05-14 19:44:20 /tracking/active-shipments ......................................................... ~ 516.02ms
  2026-05-14 19:44:35 /tracking/active-shipments ........................................................... ~ 0.68ms
  2026-05-14 19:44:51 /tracking/active-shipments ......................................................... ~ 510.28ms
